"player_name","team_name","games","total_fg3_att","total_fg3_made","observed_pct","estimated_talent_pure","shrinkage"
"Louann Battiston","Rice",28,94,35,0.372340425531915,0.327557560515279,0.0447828650166363
"Kalia Walker","Alabama A&M",23,117,39,0.333333333333333,0.327505953012357,0.00582738032097591
"Victoria Rivera","Georgetown",9,42,19,0.452380952380952,0.327429888741224,0.124951063639729
"Lexie Tarul","Marist",31,186,63,0.338709677419355,0.327414221135713,0.0112954562836422
"Teresa Kiewiet","Lafayette",26,100,37,0.37,0.327401792587929,0.042598207412071
"Grace Slaughter","Missouri",32,142,53,0.373239436619718,0.327383942557889,0.0458554940618296
"McKenna Layden","Purdue",23,50,22,0.44,0.327244943818744,0.112755056181256
"Solangelei Akridge","Long Island",27,155,54,0.348387096774194,0.327173159842144,0.0212139369320496
"Mykayla Cunningham","Southern",18,33,14,0.424242424242424,0.327164122523437,0.0970783017189875
"Makiya Miller","Jacksonville",25,86,32,0.372093023255814,0.327105755135041,0.0449872681207731
"Viki Matulevicius","Towson",22,62,24,0.387096774193548,0.327043767205248,0.0600530069882999
"Reese Downey","FDU",28,124,44,0.354838709677419,0.326919291995233,0.0279194176821868
"Gigi Gamble","Monmouth",25,150,52,0.346666666666667,0.326874249901029,0.0197924167656377
"Lara Langermann","UAlbany",28,116,42,0.362068965517241,0.326835553193853,0.0352334123233885
"McKenna Murphy","Colorado St",27,109,40,0.36697247706422,0.32680579703128,0.0401666800329402
"Sophia Mindermann","Pacific",28,169,60,0.355029585798817,0.32677027668074,0.0282593091180763
"Aiyanna Perkins","UMass",19,36,16,0.444444444444444,0.326671532722797,0.117772911721648
"Mikayla Blakes","Vanderbilt",31,241,87,0.360995850622407,0.326654202732401,0.034341647890006
"Amber Tretter","Miami OH",27,94,35,0.372340425531915,0.326641680090846,0.0456987454410692
"Emani Bennett","Kansas City",24,101,38,0.376237623762376,0.326641419912475,0.0495962038499008
"Nay Staton","FGCU",25,65,25,0.384615384615385,0.326445184228662,0.0581702003867227
